0, 8, 9, 0.00, 1.40, 0.00, 0.00, 0.00, 0.00 
1, 7, 1, 0.00, 2.90, 0.00, 0.00, 0.00, 0.00 
2, 7, 1, 0.00, 2.90, 0.00, 0.00, 90.00, 0.00 
3, 7, 1, 0.00, 2.90, 0.00, 0.00, 180.00, 0.00 
4, 7, 1, 0.00, 2.90, 0.00, 0.00, 270.00, 0.00 
5, 7, 3, 0.00, 3.50, 0.00, 0.00, 45.00, 0.00 
6, 7, 5, 0.00, 3.50, 0.00, 0.00, 135.00, 0.00 
7, 7, 2, 0.00, 3.50, 0.00, 0.00, 315.00, 0.00 
8, 7, 7, 0.00, 3.50, 0.00, 0.00, 225.00, 0.00 
9, 6, 1, 0.00, 4.10, 0.00, 0.00, 0.00, 0.00 
10, 7, 6, 0.00, 4.70, 0.00, 0.00, 0.00, 0.00 
11, 7, 8, 0.00, 4.70, 0.00, 0.00, 90.00, 0.00 
12, 7, 4, 0.00, 4.70, 0.00, 0.00, 180.00, 0.00 
13, 7, 5, 0.00, 4.70, 0.00, 0.00, 270.00, 0.00 
14, 7, 5, 0.00, 5.30, 0.00, 0.00, 280.00, 0.00 
15, 7, 6, 0.00, 5.30, 0.00, 0.00, 10.00, 0.00 
16, 7, 8, 0.00, 5.30, 0.00, 0.00, 100.00, 0.00 
17, 7, 4, 0.00, 5.30, 0.00, 0.00, 190.00, 0.00 
18, 7, 4, 0.00, 5.90, 0.00, 0.00, 200.00, 0.00 
19, 7, 5, 0.00, 5.90, 0.00, 0.00, 290.00, 0.00 
20, 7, 6, 0.00, 5.90, 0.00, 0.00, 20.00, 0.00 
21, 7, 8, 0.00, 5.90, 0.00, 0.00, 110.00, 0.00 
22, 7, 5, 0.00, 6.50, 0.00, 0.00, 300.00, 0.00 
23, 7, 6, 0.00, 6.50, -0.00, 0.00, 30.00, 0.00 
24, 7, 8, 0.00, 6.50, 0.00, 0.00, 120.00, 0.00 
25, 7, 4, 0.00, 6.50, 0.00, 0.00, 210.00, 0.00 
26, 7, 4, 0.00, 7.10, 0.00, 0.00, 220.00, 0.00 
27, 7, 5, 0.00, 7.10, 0.00, 0.00, 310.00, 0.00 
28, 7, 6, 0.00, 7.10, 0.00, 0.00, 40.00, 0.00 
29, 7, 8, 0.00, 7.10, 0.00, 0.00, 130.00, 0.00 
30, 6, 1, 0.00, 7.70, 0.00, 0.00, 0.00, 0.00 
31, 7, 3, 0.00, 8.30, 0.00, 0.00, 45.00, 0.00 
32, 7, 2, 0.00, 8.30, 0.00, 0.00, 315.00, 0.00 
33, 7, 7, 0.00, 8.30, 0.00, 0.00, 225.00, 0.00 
34, 7, 5, 0.00, 8.30, 0.00, 0.00, 135.00, 0.00 
35, 6, 1, 0.00, 8.90, 0.00, 0.00, 0.00, 0.00 
36, 6, 0, 0.00, 9.50, 0.00, 0.00, 0.00, 0.00 
37, 11, 9, 0.00, 10.10, 0.00, 0.00, 0.00, 0.00 
38, 6, 5, 0.00, 10.40, 0.00, 0.00, 0.00, 0.00 
39, 6, 7, 0.00, 11.00, 0.00, 0.00, 0.00, 0.00 
40, 6, 3, 0.00, 11.60, 0.00, 0.00, 0.00, 0.00 
41, 6, 2, 0.00, 12.20, 0.00, 0.00, 0.00, 0.00 
42, 6, 4, 0.00, 12.80, 0.00, 0.00, 0.00, 0.00 
43, 5, 9, 0.00, 13.50, 0.00, 0.00, 0.00, 0.00 
44, 5, 9, 0.00, 13.50, 0.00, 0.00, 180.00, 0.00 
45, 5, 1, 0.00, 13.50, 0.00, 0.00, 270.00, 0.00 
46, 5, 1, 0.00, 13.50, 0.00, 0.00, 90.00, 0.00 
47, 3, 9, 0.00, 15.00, 0.00, 0.00, 90.00, 0.00 
48, 3, 1, 0.00, 15.60, 0.00, 0.00, 90.00, 0.00 
49, 3, 9, 0.00, 16.20, 0.00, 0.00, 90.00, 0.00 
50, 3, 1, 0.00, 16.80, 0.00, 0.00, 90.00, 0.00 
51, 3, 9, 0.00, 17.40, 0.00, 0.00, 90.00, 0.00 
52, 2, 5, 0.00, 18.00, 0.00, 0.00, 90.00, 0.00 
53, 1, 6, 0.00, 18.80, 0.00, 0.00, 90.00, 0.00 
54, 9, 1, 0.50, -0.00, 0.50, 0.00, 90.00, 0.00 
55, 9, 1, 0.40, -0.00, -0.50, 0.00, 90.00, 0.00 
56, 9, 1, -0.50, -0.00, -0.50, 0.00, 90.00, 0.00 
57, 9, 1, -0.50, -0.00, 0.50, 0.00, 90.00, 0.00 
58, 12, 9, 1.70, 0.60, 0.00, 0.00, 90.00, 0.00 
59, 3, 1, 1.70, 1.20, 0.00, 0.00, 90.00, 0.00 
60, 3, 1, 1.70, 1.80, 0.00, 0.00, 90.00, 0.00 
61, 3, 1, 1.70, 2.40, 0.00, 0.00, 90.00, 0.00 
62, 3, 1, 1.70, 3.00, 0.00, 0.00, 90.00, 0.00 
63, 3, 1, 1.70, 3.60, 0.00, 0.00, 90.00, 0.00 
64, 3, 1, 1.70, 4.20, 0.00, 0.00, 90.00, 0.00 
65, 3, 1, 1.70, 4.80, 0.00, 0.00, 90.00, 0.00 
66, 3, 1, 1.70, 5.40, 0.00, 0.00, 90.00, 0.00 
67, 3, 1, 1.70, 6.00, 0.00, 0.00, 90.00, 0.00 
68, 3, 1, 1.70, 6.60, 0.00, 0.00, 90.00, 0.00 
69, 3, 1, 1.70, 7.20, 0.00, 0.00, 90.00, 0.00 
70, 3, 1, 1.70, 7.80, 0.00, 0.00, 90.00, 0.00 
71, 2, 9, 1.70, 8.40, 0.00, 0.00, 90.00, 0.00 
72, 1, 9, 1.70, 9.20, 0.00, 0.00, 90.00, 0.00 
73, 12, 9, -1.80, 0.60, 0.00, 0.00, 90.00, 0.00 
74, 3, 1, -1.80, 1.20, 0.00, 0.00, 90.00, 0.00 
75, 3, 1, -1.80, 1.80, 0.00, 0.00, 90.00, 0.00 
76, 3, 1, -1.80, 2.40, 0.00, 0.00, 90.00, 0.00 
77, 3, 1, -1.80, 3.00, 0.00, 0.00, 90.00, 0.00 
78, 3, 1, -1.80, 3.60, 0.00, 0.00, 90.00, 0.00 
79, 3, 1, -1.80, 4.20, 0.00, 0.00, 90.00, 0.00 
80, 3, 1, -1.80, 4.80, 0.00, 0.00, 90.00, 0.00 
